年份,月份,进出口,商品编码,商品描述,企业名称,出口最终国或进口原产国,收发货地,报关口岸,贸易方式,运输方式,航次,数量,金额,商品分类
2006,1,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司1,阿塞拜疆,广汉,深圳海关,一般贸易,公路运输,5,142,7810,10
2006,2,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司2,伊拉克,咸阳,拱北海关,一般贸易,公路运输,6,125,8125,10
2009,3,出口,1039120,10≤重量<50千克的其他猪（改良种除外）,进出口公司3,波兰,成都其他,深圳海关,一般贸易,公路运输,7,1236,91819,10
2009,4,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司4,伊拉克,陕西其他,深圳海关,一般贸易,公路运输,1,9260,1182320,10
2009,5,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司5,斯里兰卡,荆州,深圳海关,一般贸易,公路运输,1,11320,1416132,10
2012,6,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司3,美国,朝阳区,深圳海关,一般贸易,公路运输,1,11278,1488246,10
2011,7,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司6,澳大利亚,烟台其他,拱北海关,一般贸易,公路运输,1,732,102480,10
2011,8,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司7,阿联酋,兰州其他,深圳海关,一般贸易,公路运输,1,80,10320,10
2009,9,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司7,印度尼西亚,东营,深圳海关,一般贸易,公路运输,1,80,10320,10
2006,10,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司8,澳大利亚,张家港其他,深圳海关,一般贸易,公路运输,1,80,11200,10
2011,11,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司9,印度尼西亚,深圳特区,深圳海关,一般贸易,公路运输,1,880,123200,10
2011,12,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司10,新西兰,上海其他,深圳海关,一般贸易,公路运输,1,920,128800,10
2012,1,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司11,贝宁,北京其他,深圳海关,一般贸易,公路运输,1,960,135597,10
2011,2,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司12,印度,江阴,深圳海关,一般贸易,公路运输,1,999,139860,10
2012,3,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司13,美国,沧州,深圳海关,一般贸易,公路运输,1,750,145140,10
2008,4,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司14,印度,成都其他,拱北海关,一般贸易,公路运输,1,105,14700,10
2011,5,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司15,荷兰,荆州,深圳海关,一般贸易,公路运输,1,960,163200,10
2009,6,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司16,新加坡,东营,深圳海关,一般贸易,公路运输,1,120,16332,10
2006,7,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司1,荷兰,株州其他,深圳海关,一般贸易,公路运输,1,1120,168000,10
2011,8,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司17,哥伦比亚,荆州,深圳海关,一般贸易,公路运输,1,1360,175453,10
2007,9,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司18,俄罗斯,宁波其他,深圳海关,一般贸易,公路运输,1,1620,177592,10
2009,10,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司19,法国,临汾,深圳海关,一般贸易,公路运输,1,100,17798,10
2009,11,出口,1039200,重量在50千克及以上的其他猪（改良种除外）,进出口公司20,新加坡,上海其他,深圳海关,一般贸易,公路运输,1,16224,2140521,10
